"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25"
"26" 7 0.454296080187583 1 19 0.739300165574191 1.40615313007517e-209 2.999999 0.887705464685003 0.655772138842975 1 5 2 -0.313840755675866 -0.357183927685715 -0.262634229030255 0.221513292695082 0.366559387289213 0.00363316383978418 0.371804051166284 0.00333807036922673 0.648773163623944 0.655772138842975 0.688504418692165 0.100547548489263 0.190397067194711
"27" 9 0.514541256884519 1 10 0.844465791284773 0.231085208064909 2.999999 0.849461785414273 0.808832943977813 2 5 6 -0.0999352603964243 -0.318770217100439 -0.0934689547059241 0.0958085425454517 0.17055296965182 0.0627889337280187 0.219745079494226 0.0320705306302838 0.62702274084063 0.808832943977813 0.798397677164374 0.796981915754184 0.229457621872048
"28" 7 0.580322834896317 1 15 0.835605823321003 0.0354655147092451 2.999999 1.09799657007722 0.718687573625829 1 5 1 -0.27259235243469 0.117689915881205 -0.299747453652668 0.212163455077553 0.366977947899332 0.00360876223788953 0.4192682511427 0.00150700299647166 0.643021677590108 0.718687573625829 0.716616819857681 0.365691172930681 0.204605011937566
"29" 9 0.937076465852093 0 0 0.889751918374438 1.79037879406154e-213 2.999999 1.26460649665711 0.636552091170319 1 5 9 -0.0460697199050511 -0.360459006437069 -0.276479526624915 0.262755196321902 0.478261792233042 0.00051575895987277 0.536604653600128 0.000159266545271208 0.767086140864743 0.636552091170319 0.754658834284982 0.00512466378418529 0.322169547759186
"30" 7 0.658283746465965 1 16 0.831882009659243 2.37876345963085e-210 2.999999 1.00573908044914 0.674458817642549 1 5 18 -0.14603114361473 -0.517537618179348 -0.359766288477337 0.336579433198693 0.425962812838931 0.00134105784927829 0.446642086293789 0.000928051313901834 0.69833279609907 0.674458817642549 0.720576235436163 0.0569956231750703 0.233762113870918
"31" 9 0.966431954287451 1 17 0.765135766614827 1.42615858030198e-50 2.999999 0.510390040538622 0.627409276725432 2 5 1 0.153623210316384 -0.449242116289733 -0.350145786331334 0.313483612475951 0.383573505412765 0.00275416087993507 0.416755192464366 0.00157398845062184 0.709098924053744 0.627409276725432 0.745175019457488 0.00719853617787776 0.0737836849379499
"32" 6 0.574401808084323 1 20 0.900223751452216 0.0292073468021982 2.43342619545039 0.69817903879353 0.623193411360543 1 11 13 -0.263336944917679 -0.21195996405731 -0.566670820064781 0.309496716084378 0.00484453201970114 0.764335644557496 0.0394554291262598 0.388046533030595 0.457974314951234 0.623193411360543 0.624084213096107 0.320199447248966 0.15918302622269
"33" 7 0.500342492657439 1 13 0.86818140012924 1.61916677035177e-74 2.999999 1.44799968597521 0.705842551731396 1 5 1 -0.0812288729454207 -0.31399634021715 -0.438788722622571 0.30600435998429 0.200399428713828 0.0418568693062777 0.281673272167729 0.0133121556471307 0.605130014185562 0.705842551731396 0.710433563553538 0.268937412969054 0.202889642416625
"34" 9 0.879410993303166 0 0 0.924633452781045 1.26655524666896e-180 2.999999 1.82198125805931 0.729317358508647 1 11 3 0.113042801482462 -0.392454204672563 -0.501485782390962 0.310297981746946 0.370233134875019 0.00342406290031194 0.446719424793146 0.000926753338891917 0.744435368623578 0.729317358508647 0.765609338569317 0.0625487358894922 0.289433740752919
"35" 7 0.446958216987884 0 0 1 0.691300901963138 2.83706105212269 1.24035682268922 0.684277149903455 1 5 3 -0.0937692255660572 -0.541365535808736 -0.345535415131404 0.547721950335326 0.172577537005612 0.0610949802731382 0.243093890533952 0.0231442044799444 0.607909140322156 0.684277149903455 0.685043859291746 0.319923031857647 0.201880660913987
