"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"26" -0.159218368121008 -0.285504886937572 -0.148363221438424 0.0985820972626445 0.611735290811703 -0.107240236540347 -0.00276952366980973 -0.00547608007293062 -0.00136488999622528 -3.81553464600167e-05 -0.000290351221404909 -2.0864447146863e-05 -2.31173473295087e-06 -2.52665062396661e-06 -5.92340361734746e-06 -7.12481961178866e-06 -6.43543726469347e-06 -4.07232804412913e-07 -3.63726298004991e-06 -9.05717952145839e-07 -1.53802342194906e-06
"27" 0.262242701704847 0.228142787871529 0.277620959585574 0.107597178629247 -0.571552499902982 -0.555621796375133 0.139886823006835 0.120426054963375 0.120293882670906 0.0722326404518522 -0.151501346243153 0.0195057961494373 0.0821799950489373 0.0594422396017608 -0.074577116201768 -0.123686496212311 -0.0738586635733639 0.00322431863089021 0.0533760995032135 0.00126024060724467 0.00336620008305922
"28" -0.173437755885061 -0.310692032586321 -0.161607007647179 0.10751513795077 0.668578054457008 -0.112587524029488 -0.00814743534779556 -0.0124392215238165 0.000928122432413347 0.000210060258845427 0.000807442068396917 3.33151728587225e-05 9.25570175642595e-05 1.80240043889825e-05 -8.01135771511224e-05 0.000875367375294523 -0.000169453311266576 2.11439407121841e-05 6.7139455997019e-05 1.055353717302e-05 3.62623665632567e-06
"29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 0.396377858609832 -0.040898217012847 0.259582751388294 -0.123940261142448 -0.540271574473384 0.0390316101976273 -0.0859769299120926 0.109309064740816 -0.00190793713507173 -0.000809116563684305 -0.00967871922569641 -0.000285401582923827 1.54455119027341e-05 1.78378957785804e-05 -0.000272939501920511 -0.00042743615512262 0.000275206753536822 5.87392980387753e-05 -0.000169539625547847 -2.77633367828129e-05 -2.67872830591292e-06
"31" -0.135256268868652 -0.1049013440378 -0.331963878838041 0.135356546957284 0.523377294848847 0.0222647793010638 -0.17902478678231 0.0248166552857812 0.00372915582383557 -0.00751276456125799 0.0482616408772105 0.000435723138091844 0.00021565135040024 0.000265495597847546 0.00135779066772651 0.00354359219096355 -0.0054810713456555 0.000106973866160831 0.000129632616792625 0.000185594247381352 9.35876643233293e-05
"32" -8.1631195240957e-06 -9.39591887332943e-06 -7.86119058828217e-06 -6.62980156841105e-05 -7.46254516204698e-05 -8.08274797646801e-05 -0.000317444187860324 -0.000411556643254859 -0.000436126993083834 -0.000603518038268262 -0.00136304859332445 -0.000664260147126296 0.000476342911081395 0.000572129363234466 -0.221607026669514 0.231456773111903 -0.00385296426961477 -0.000280123688958587 -0.000703168212836956 -0.00131735652983673 -0.000701480236483937
"33" 0.283703805582692 0.253248349273072 0.131863926542203 -0.0496658597035166 -0.803171926917065 -0.0131151016429547 0.135101501644934 0.152385280223295 -0.0674766395921646 -0.0223794071039523 0.00879644636562128 -0.00400837256311082 0.00692460012295043 0.00849452700057211 -0.042980632073048 0.0244030260935834 -0.00139044745421158 -0.000665754570654348 0.000447168582940808 0.000405580046953013 -0.000920069858138999
"34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
